country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Malta,MLT,2024,,,6.21275996991034,0.246124766994322,1.65079469283109,,,21.20189061444969,98.1140350877193,25.23528124316043,3,48.18373564844314,-3.2025304042372245,5.0,Moderate Risk
Mauritania,MRT,2024,41.8283000583246,9.67472381178827,6.3076021190402,,2.49164347481972,49.60212201591512,45.64300773014758,20.34098582039164,,37.29481286933684,4,38.2202321089478,-5.850488545739703,5.0,Moderate Risk
Mauritius,MUS,2024,123.165055468656,8.48229754247703,4.94844235250574,5.16133343497894,3.6045220384796,94.82758620689656,40.021082220660574,32.95070898041864,38.17982456140351,50.908295031735605,5,51.37749940022297,-1.4801006744132443,5.0,Elevated Risk
Mexico,MEX,2024,32.8920519832698,9.51997025016336,1.35057631384696,3.54735732153754,4.72225588452932,35.41114058355438,44.799718903724525,75.23632680621202,59.53947368421053,61.107463339899326,5,55.21882466352015,2.1443573288891953,5.0,Elevated Risk
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2024,27.2792237156934,13.7492406776587,2.26137020265979,9.99130513912783,,26.59151193633952,62.22768798313423,66.1377447670493,11.51315789473685,,4,41.61752564531498,2.912670539889548,5.0,Moderate Risk
Moldova,MDA,2024,57.1465378506246,16.6185835066351,0.270670455512573,5.73606219741677,4.67773516007052,65.68302387267904,71.50386507378778,83.33896016205267,31.557017543859644,60.6916174217553,5,62.55489681482688,1.6655363856088656,5.0,Elevated Risk
Mongolia,MNG,2024,181.85657688514,32.0417230045509,5.12204539122661,3.3348503356273,6.1977990165842,98.0106100795756,91.6022487702038,30.92505064145847,62.25877192982456,70.60625957539943,5,70.68058819929237,-6.15326944853962,5.0,Elevated Risk
Montenegro,MNE,2024,108.635519944661,29.801351346243,3.16409886329913,3.47268133783394,3.33675009282281,92.473474801061,89.63457484188334,55.21607022282242,60.526315789473685,47.82228058656161,5,69.13454324836042,1.3853790108603306,5.0,Elevated Risk
Morocco,MAR,2024,44.7188367863758,12.9254798325863,3.79336515978963,5.27123760712716,0.985256592004507,53.11671087533156,59.31131412508785,47.28224172856178,36.66666666666667,16.677609980302037,5,42.61090867518998,-3.0988557886357975,5.0,Moderate Risk
Mozambique,MOZ,2024,350.573066715697,46.5096494923949,2.14892499135355,3.44005646618622,4.07856834812022,99.40318302387269,97.36472241742796,67.18433490884537,60.94298245614035,55.48260013131976,5,76.07556458752121,-1.5539338375485694,5.0,High Risk
Myanmar,MMR,2024,15.2759866470065,7.38528231051686,-0.97204641363362,,,7.427055702917771,34.750527055516514,88.40310600945307,,,3,43.52689625596245,9.668912445331793,5.0,Moderate Risk
Namibia,NAM,2024,,,3.77851723267591,3.95760383889023,4.23903922877036,,,47.5016880486158,54.18859649122807,56.77391114029328,3,52.82139856004572,2.5294386747229836,5.0,Elevated Risk
Nepal,NPL,2024,23.2748414884129,12.3916778046586,3.67787459697703,12.9718425174618,4.6850965426577,19.29708222811671,57.3436401967674,48.73396353814989,6.907894736842096,60.75727730356753,5,38.60797160068872,0.45158536442461583,5.0,Moderate Risk
Netherlands,NLD,2024,,,1.07383137319854,0.729998349874489,3.34754304219953,,,77.86968264686023,94.45175438596492,47.97548697745677,3,73.43230800342731,1.6058656283810127,5.0,Elevated Risk
New Zealand,NZL,2024,,,-0.868722371893952,3.15568037399391,2.92279782301957,,,88.09925725860904,65.06578947368422,43.00722258699935,3,65.3907564397642,0.12241299635158484,5.0,Elevated Risk
Nicaragua,NIC,2024,82.8145487130702,21.3938317535199,3.58094495324541,5.72174836008153,4.62473841057141,84.58222811671088,80.9205903021785,49.86495611073599,31.73245614035088,60.16633836725761,5,61.453313807446776,-6.038769564714403,5.0,Elevated Risk
